Fecha(dd/mm/año), Venta al final del dia ($COP) 
1/01/2020,117640.52
2/01/2020,104001.57
3/01/2020,109787.38
4/01/2020,122408.93
5/01/2020,118675.58
6/01/2020,90227.22
7/01/2020,109500.88
8/01/2020,98486.43
9/01/2020,98967.81
10/01/2020,104105.99
11/01/2020,101440.44
12/01/2020,114542.74
13/01/2020,107610.38
14/01/2020,101216.75
15/01/2020,104438.63
16/01/2020,103336.74
17/01/2020,114940.79
18/01/2020,97948.42
19/01/2020,103130.68
20/01/2020,91459.04
21/01/2020,74470.10
22/01/2020,106536.19
23/01/2020,108644.36
24/01/2020,92578.35
25/01/2020,122697.55
26/01/2020,85456.34
27/01/2020,100457.59
28/01/2020,98128.16
29/01/2020,115327.79
30/01/2020,114693.59
31/01/2020,101549.47
1/02/2020,114159.79
2/02/2020,100234.36
3/02/2020,88211.24
4/02/2020,106172.97
5/02/2020,111719.84
6/02/2020,123533.20
7/02/2020,123226.18
8/02/2020,105739.41
9/02/2020,106674.67
10/02/2020,98465.92
11/02/2020,94379.80
12/02/2020,91231.03
13/02/2020,131458.53
14/02/2020,104393.83
15/02/2020,105181.18
16/02/2020,96219.25
17/02/2020,118552.39
18/02/2020,92247.12
19/02/2020,107659.86
20/02/2020,100149.87
21/02/2020,114255.93
22/02/2020,104381.14
23/02/2020,97013.05
24/02/2020,109690.00
25/02/2020,114711.65
26/02/2020,110731.69
27/02/2020,113327.19
28/02/2020,103022.46
29/02/2020,106009.85
1/03/2020,109431.17
2/03/2020,113102.21
3/03/2020,107780.63
4/03/2020,97067.67
5/03/2020,119402.08
6/03/2020,112606.79
7/03/2020,98194.94
8/03/2020,122749.89
9/03/2020,106676.04
10/03/2020,117929.93
11/03/2020,125874.24
12/03/2020,118833.74
13/03/2020,130688.01
14/03/2020,102833.47
15/03/2020,122040.80
16/03/2020,109286.28
17/03/2020,107104.27
18/03/2020,110529.41
19/03/2020,113665.36
20/03/2020,117979.44
21/03/2020,103650.91
22/03/2020,127889.05
23/03/2020,122783.68
24/03/2020,99297.22
25/03/2020,134780.76
26/03/2020,139563.18
27/03/2020,131150.01
28/03/2020,115209.62
29/03/2020,104758.38
30/03/2020,129691.39
31/03/2020,112590.42
1/04/2020,134669.34
